epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1226.4,1.0667,0.62699,1.22805,0.96493,0.96305,0.98547,0.73797,0.9715,0.46789,1.20514,0.0006106,0.0006106,0.0006106
61,1242.48,1.06546,0.61635,1.22416,0.97182,0.95386,0.98782,0.74695,0.94606,0.45136,1.18337,0.000604,0.000604,0.000604
62,1259.72,1.06174,0.61352,1.22479,0.96462,0.95622,0.98622,0.73698,0.96904,0.47209,1.20001,0.0005974,0.0005974,0.0005974
63,1276.42,1.06251,0.61226,1.22309,0.96909,0.95842,0.98672,0.74605,0.93932,0.45427,1.17757,0.0005908,0.0005908,0.0005908
64,1292.89,1.03343,0.60999,1.21084,0.9675,0.96063,0.98664,0.74236,0.94005,0.45318,1.17685,0.0005842,0.0005842,0.0005842
65,1309.28,1.04663,0.61018,1.21343,0.96812,0.96605,0.98832,0.7521,0.93231,0.4412,1.17129,0.0005776,0.0005776,0.0005776
66,1326.31,1.0207,0.58621,1.20048,0.96602,0.95954,0.98778,0.74901,0.92902,0.44866,1.16851,0.000571,0.000571,0.000571
67,1342.59,1.02641,0.5945,1.20453,0.97451,0.96688,0.99072,0.75743,0.91079,0.42551,1.16447,0.0005644,0.0005644,0.0005644
68,1363.97,1.0291,0.58948,1.20004,0.97228,0.96846,0.99044,0.75977,0.90637,0.42605,1.15472,0.0005578,0.0005578,0.0005578
69,1386.14,1.02401,0.5913,1.2043,0.9703,0.96789,0.99053,0.76851,0.87773,0.41735,1.1354,0.0005512,0.0005512,0.0005512
70,1406.75,1.02244,0.57844,1.20285,0.97422,0.96584,0.98985,0.76403,0.89435,0.42512,1.14355,0.0005446,0.0005446,0.0005446
71,1423.89,0.99979,0.58246,1.18941,0.97838,0.97008,0.991,0.7677,0.88793,0.41028,1.14223,0.000538,0.000538,0.000538
72,1441.26,0.99991,0.57367,1.18421,0.9787,0.96568,0.9898,0.76804,0.89914,0.41538,1.1438,0.0005314,0.0005314,0.0005314
73,1457.53,0.99058,0.56683,1.19393,0.97684,0.97515,0.99073,0.77659,0.87423,0.41023,1.13303,0.0005248,0.0005248,0.0005248
74,1475.07,0.9868,0.56642,1.18121,0.97708,0.96734,0.9912,0.77833,0.86715,0.41044,1.13075,0.0005182,0.0005182,0.0005182
75,1492.69,0.98106,0.56342,1.18135,0.97882,0.97123,0.99072,0.77604,0.8658,0.40652,1.12046,0.0005116,0.0005116,0.0005116
76,1509.77,0.96716,0.55947,1.17109,0.97519,0.97229,0.99136,0.7776,0.86131,0.40758,1.12605,0.000505,0.000505,0.000505
77,1526.79,0.96173,0.55153,1.16655,0.96811,0.97226,0.99022,0.77475,0.87287,0.41215,1.13037,0.0004984,0.0004984,0.0004984
78,1546.19,0.97016,0.55585,1.17525,0.97488,0.97577,0.99169,0.79094,0.83458,0.39309,1.10667,0.0004918,0.0004918,0.0004918
79,1564.04,0.96188,0.54092,1.1644,0.97583,0.97614,0.99168,0.79058,0.83217,0.3949,1.10567,0.0004852,0.0004852,0.0004852
80,1585.99,0.96681,0.55036,1.16328,0.97749,0.97349,0.99153,0.78989,0.82416,0.39272,1.09681,0.0004786,0.0004786,0.0004786
81,1608.05,0.94512,0.5272,1.14866,0.98063,0.97615,0.99226,0.79479,0.81672,0.38278,1.09114,0.000472,0.000472,0.000472
82,1629.94,0.93841,0.53686,1.14908,0.97728,0.97222,0.99212,0.79269,0.82502,0.39155,1.09768,0.0004654,0.0004654,0.0004654
83,1651.59,0.93346,0.53502,1.14993,0.97991,0.97537,0.99195,0.79577,0.81331,0.37786,1.08856,0.0004588,0.0004588,0.0004588
84,1672.12,0.93137,0.52756,1.14861,0.98126,0.97267,0.99207,0.79537,0.80852,0.38034,1.08848,0.0004522,0.0004522,0.0004522
85,1689.46,0.93954,0.52675,1.16161,0.98372,0.97639,0.99318,0.80492,0.8075,0.37276,1.08143,0.0004456,0.0004456,0.0004456
86,1706.95,0.92454,0.51145,1.14712,0.97833,0.97976,0.99296,0.80183,0.80029,0.37439,1.08411,0.000439,0.000439,0.000439
87,1724.84,0.93356,0.52014,1.14857,0.97899,0.97869,0.99261,0.8016,0.80273,0.37712,1.08443,0.0004324,0.0004324,0.0004324
88,1742.26,0.90618,0.5136,1.13467,0.98046,0.97776,0.99221,0.81115,0.77953,0.36687,1.07125,0.0004258,0.0004258,0.0004258
89,1759.83,0.90604,0.50322,1.12945,0.98139,0.97815,0.99284,0.81265,0.77379,0.36485,1.06718,0.0004192,0.0004192,0.0004192
90,1780.5,0.89987,0.51417,1.12952,0.98202,0.97683,0.99255,0.80655,0.79025,0.36679,1.07689,0.0004126,0.0004126,0.0004126
91,1802.02,0.90833,0.51397,1.13674,0.98323,0.97439,0.99312,0.81215,0.77028,0.36116,1.0637,0.000406,0.000406,0.000406
92,1820.89,0.89936,0.50214,1.12216,0.97148,0.98023,0.99243,0.81341,0.76916,0.36356,1.05739,0.0003994,0.0003994,0.0003994
93,1838.31,0.89681,0.50543,1.12812,0.97762,0.986,0.9932,0.81756,0.75812,0.35533,1.05435,0.0003928,0.0003928,0.0003928
94,1855.33,0.87832,0.4901,1.11972,0.97958,0.98183,0.99319,0.82077,0.75707,0.35104,1.05292,0.0003862,0.0003862,0.0003862
95,1872.36,0.88115,0.48458,1.11018,0.98151,0.97697,0.99328,0.81813,0.76075,0.35392,1.05298,0.0003796,0.0003796,0.0003796
